Device,Model,Type,IOS,BMN
crosw06.arte.remote.hms.cdw.com,WS-C2950T-24,switch,C2950-I6Q4L2-M12.1(22)EA9,ARTE
crosw04.arte.remote.hms.cdw.com,WS-C2960-48PST-L,switch,C2960-LANBASEK9-M12.2(55)SE12,ARTE
cdi-phx-3560x-01.arte.remote.hms.cdw.com,WS-C3560X-48,switch,C3560E-UNIVERSALK9-M15.2(4)E6,ARTE
crosw02.arte.remote.hms.cdw.com,WS-C3750-48P,router,C3750-IPBASEK9-M12.2(55)SE8,ARTE
cdi-phx-stack.arte.remote.hms.cdw.com,WS-C3750-48P,router,C3750-IPSERVICESK9-M12.2(55)SE8,ARTE
cdi-phx-cube-01.arte.remote.hms.cdw.com,CISCO3925-CHASSIS,router,C3900-UNIVERSALK9-M15.5(3)M6a,ARTE
crosw03.arte.remote.hms.cdw.com,C9300L-48P-4G,router,CAT9K_IOSXE16.11.1c,ARTE
aisnj-dmz.arte.remote.hms.cdw.com,C9200L-24T-4X,router,CAT9K_LITE_IOSXE16.9.4,ARTE
azpho01mmpls1.ashfi.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.4(3)S6a,ASHFI
casaan21mwar1.ashfi.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.5(2)S3,ASHFI
cacol01b1p0mmpls1.ashfi.remote.hms.cdw.com,ISR4431/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.5(3)S6,ASHFI
aztem21mmpls1.ashfi.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.12.3,ASHFI
flbra01b1p0mvpn1.ashfi.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.3.2,ASHFI
r-shadow-msn-1.binc.net,2611XM,router,C2600-IPVOICE-M12.4(25c),BINC
s-pes-msn-1.binc.net,ME-3400EG-12CS-M,router,ME340x-METROACCESSK9-M12.2(60)EZ10,BINC
s-pes-msn-4.binc.net,ME-3400-24TS-A,router,ME340x-METROACCESSK9-M12.2(60)EZ2,BINC
s-pes-fit-1.binc.net,ME-3400EG-12CS-M,router,ME340x-METROACCESSK9-M12.2(60)EZ4,BINC
s-pes-chi-1.binc.net,ME-3400EG-12CS-M,router,ME340x-METROACCESSK9-M12.2(60)EZ9,BINC
s-pe-chi-1.binc.net,ME-3600X-24FS-M,router,ME360x-UNIVERSALK9-M15.5(3)S2,BINC
s-pe-fit-1.binc.net,ME-3600X-24TS-M,router,ME360x-UNIVERSALK9-M15.5(3)SN,BINC
ith2-idf-sw11.borgw.remote.hms.cdw.com,WS-C2960S-48FPS-L,switch,C2960S-UNIVERSALK9-M15.2(2)E6,BORGW
ith1-idf-sw01.borgw.remote.hms.cdw.com,WS-C2960X-48FPD-L,switch,C2960X-UNIVERSALK9-M15.2(4)E7,BORGW
lco-swi-sb-01.borgw.remote.hms.cdw.com,WS-C4948-10GE,router,cat4500-ENTSERVICESK9-M12.2(53)SG2,BORGW
lco-swi-mgmt-01.borgw.remote.hms.cdw.com,WS-C4948-10GE,router,cat4500-IPBASEK9-M12.2(54)SG,BORGW
c4510-vss.borgw.remote.hms.cdw.com,WS-C4510R+E,switch,cat4500es8-UNIVERSALK9-M03.10.03.E,BORGW
stb01ib-n1-stb04.brigg.remote.binc.net,AIR-AP1572EAC-B-K9,router,C1570-K9W7-M15.3(3)JA9,BRIGG
acn02ia-cmp01.brigg.remote.binc.net,WS-C2960S-48LPS-L,switch,C2960S-UNIVERSALK9-M15.0(2)SE12,BRIGG
acn01ia-03.brigg.remote.binc.net,WS-C2960S-24PS-L,switch,C2960S-UNIVERSALK9-M15.0(2)SE6,BRIGG
aau01ia-comproom-10.brigg.remote.hms.cdw.com,WS-C2960X-24PS-L,switch,C2960X-UNIVERSALK9-M15.0(2)EX5,BRIGG
